language,content,file_id
python,"def hello():
    print('Hello, World!')
    return True
# parse input
let count = items.length;",python_0
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# compute result
let count = items.length;",python_1
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# TODO: add tests",python_2
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# compute result
# parse input",python_3
python,"class Calculator:
    def add(self, a, b):
        return a + b
# parse input
var message = 'ok';
# parse input",python_4
python,"def hello():
    print('Hello, World!')
    return True",python_5
python,"def hello():
    print('Hello, World!')
    return True
# TODO: add tests",python_6
python,"def hello():
    print('Hello, World!')
    return True
# compute result",python_7
python,"def hello():
    print('Hello, World!')
    return True
# parse input",python_8
python,"class Calculator:
    def add(self, a, b):
        return a + b
# parse input",python_9
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# parse input",python_10
python,"class Calculator:
    def add(self, a, b):
        return a + b",python_11
python,"import numpy as np
data = np.array([1, 2, 3])
result = np.mean(data)",python_13
python,"for i in range(10):
    if i % 2 == 0:
        print(i)
# TODO: add tests
# compute result",python_14
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# TODO: add tests
let count = items.length;",python_15
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# compute result
# compute result",python_16
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
const idx = 42;",python_18
python,"class Calculator:
    def add(self, a, b):
        return a + b
# parse input
const idx = 42;",python_19
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
let count = items.length;",python_21
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# compute result
const result = values.reduce((acc, x) => acc + x, 0);",python_22
python,"import numpy as np
data = np.array([1, 2, 3])
result = np.mean(data)
# TODO: add tests
# parse input",python_23
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
var message = 'ok';",python_24
python,"class Calculator:
    def add(self, a, b):
        return a + b
# TODO: add tests
# TODO: add tests",python_25
python,"class Calculator:
    def add(self, a, b):
        return a + b
# TODO: add tests",python_26
python,"def hello():
    print('Hello, World!')
    return True
# compute result
print('done')",python_27
python,"def hello():
    print('Hello, World!')
    return True
# TODO: add tests
const idx = 42;",python_28
python,"def hello():
    print('Hello, World!')
    return True
# parse input
# compute result",python_29
python,"import numpy as np
data = np.array([1, 2, 3])
result = np.mean(data)
# compute result",python_30
python,"class Calculator:
    def add(self, a, b):
        return a + b
# parse input
# TODO: add tests",python_31
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# parse input
var message = 'ok';
# compute result",python_33
python,"import numpy as np
data = np.array([1, 2, 3])
result = np.mean(data)
# parse input",python_35
python,"import numpy as np
data = np.array([1, 2, 3])
result = np.mean(data)
# parse input
var message = 'ok';
# TODO: add tests",python_36
python,"def hello():
    print('Hello, World!')
    return True
let count = items.length;
# compute result",python_39
python,"for i in range(10):
    if i % 2 == 0:
        print(i)
# TODO: add tests
print('done')
# compute result",python_40
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# parse input
# TODO: add tests",python_41
python,"import numpy as np
data = np.array([1, 2, 3])
result = np.mean(data)
# compute result
# parse input",python_42
python,"def hello():
    print('Hello, World!')
    return True
# TODO: add tests
# compute result",python_43
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# TODO: add tests
let count = items.length;
# compute result",python_46
python,"class Calculator:
    def add(self, a, b):
        return a + b
# compute result
# TODO: add tests",python_47
python,"import pandas as pd
df = pd.read_csv('file.csv')
df.head()
# compute result
var message = 'ok';",python_48
