language,file_id,has_doctype,has_xml_declaration,has_svg_tag,has_php_tag,has_shebang,sb_bash,sb_python,has_docker_from,has_html_tag,md_header,has_vcalendar,has_email_headers,has_mime_boundary,kw_def,kw_class,kw_function,kw_import,kw_include,kw_package,kw_public,kw_private,kw_fn,kw_func,kw_let,kw_const,kw_var,kw_use,kw_echo,kw_select,kw_from,kw_end,kw_begin,kw_module,kw_return,kw_void,kw_namespace,kw_struct,keyword_count,keyword_density,cmt_slash,cmt_hash,cmt_block,cmt_sql,cmt_html,cmt_semi,cmt_pct,cmt_excl,line_comment_ratio,block_comment_ratio,r_brace,r_brace_c,r_semi,r_lt,r_gt,r_colon,r_eq,r_dollar,r_at,r_paren,r_bracket,r_comma,r_dquote,r_squote,r_pipe,hash_ratio,colon_ratio,equals_ratio,comma_ratio,quote_ratio,avg_len,max_len,blank_r,tab_r,space4_r,arrow_fat,arrow_thin,scope_op,tag_r,triple_q,backtick,special_r,digit_r,upper_r,dot_r,end_brace,end_colon,indent_level_avg,line_count,json_like_score,yaml_like_score,xml_like_score
python,python_0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.2222222222222222,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.028985507246376812,0.0,0.014492753623188406,0.0,0.028985507246376812,0.0,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.028985507246376812,16.5,26,0.0,0.0,0.5,0,0,0,0.0,0,0,0.057971014492753624,0.0,0.043478260869565216,0.0,0,1,2.0,4,0.057971014492753624,0.0,0.0
python,python_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0625,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.023255813953488372,0.0,0.0,0.023255813953488372,0.011627906976744186,0.023255813953488372,0.0,0.0,0.0,0.011627906976744186,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.0,20.75,26,0.0,0.0,0.0,0,0,0,0.0,0,0,0.06976744186046512,0.03488372093023256,0.046511627906976744,0.023255813953488372,0,0,0.0,4,0.11627906976744186,0.0,0.0
python,python_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.3333333333333333,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.03636363636363636,0.0,0.01818181818181818,0.0,0.03636363636363636,0.0,0.0,0.01818181818181818,0.0,0.01818181818181818,0.03636363636363636,17.666666666666668,26,0.0,0.0,0.6666666666666666,0,0,0,0.0,0,0,0.07272727272727272,0.0,0.05454545454545454,0.0,0,1,2.6666666666666665,3,0.07272727272727272,0.0,0.0
python,python_3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.013888888888888888,0.0,0.027777777777777776,17.25,28,0.0,0.0,0.0,0,0,0,0.0,0,0,0.05555555555555555,0.0,0.0,0.041666666666666664,0,0,0.0,4,0.0,0.0,0.0
python,python_4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.2222222222222222,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.027777777777777776,0.0,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.027777777777777776,17.25,26,0.0,0.0,0.5,0,0,0,0.0,0,0,0.05555555555555555,0.0,0.041666666666666664,0.0,0,1,2.0,4,0.05555555555555555,0.0,0.0
python,python_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08333333333333333,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.014705882352941176,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,22.0,26,0.0,0.0,0.0,0,0,0,0.0,0,0,0.08823529411764706,0.04411764705882353,0.0,0.029411764705882353,0,0,0.0,3,0.11764705882352941,0.0,0.0
python,python_8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09090909090909091,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.02666666666666667,0.0,0.0,0.0,0.02666666666666667,0.0,0.013333333333333334,0.0,0.013333333333333334,0.0,0.02666666666666667,18.0,28,0.0,0.0,0.0,0,0,0,0.0,0,0,0.05333333333333334,0.0,0.0,0.04,0,0,0.0,4,0.0,0.0,0.0
python,python_10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.23076923076923078,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0125,0.0,0.025,0.0,0.0,0.0,0.0125,0.025,0.0,0.025,0.0,19.25,24,0.0,0.0,0.5,0,0,0,0.0,0,0,0.025,0.0,0.0125,0.0,0,2,3.0,4,0.1,0.0,0.0
python,python_11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.23076923076923078,0,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.012987012987012988,0.0,0.025974025974025976,0.0,0.0,0.0,0.012987012987012988,0.025974025974025976,0.0,0.025974025974025976,0.0,18.5,24,0.0,0.0,0.5,0,0,0,0.0,0,0,0.025974025974025976,0.0,0.012987012987012988,0.0,0,2,3.0,4,0.1038961038961039,0.0,0.0
python,python_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.03636363636363636,0.0,0.0,17.666666666666668,19,0.0,0.0,0.6666666666666666,0,0,0,0.0,0,0,0.07272727272727272,0.07272727272727272,0.0,0.0,0,2,4.0,3,0.07272727272727272,0.0,0.0
