language,file_id,has_doctype,has_xml_declaration,has_svg_tag,has_vcalendar,has_email_headers,has_mime_boundary,html_tag_ratio,avg_line_length,special_char_ratio,bracket_ratio,semicolon_ratio,comment_ratio,line_comment_ratio,block_comment_ratio,has_shebang,has_import,has_class_keyword,has_function_keyword,keyword_count,keyword_density,hash_ratio,colon_ratio,equals_ratio,comma_ratio,quote_ratio,json_like_score,yaml_like_score,xml_like_score,indent_level_avg,line_count,max_line_length,digit_ratio,uppercase_ratio
python,python_0,0,0,0,0,0,0,0.0,18.2,0.0,0.042105263157894736,0.2,0.2,0.2,0.0,0,0,0,1,3,0.23076923076923078,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.0,0.0,1.6,5,26,0.0,0.031578947368421054
python,python_1,0,0,0,0,0,0,0.0,19.4,0.0,0.039603960396039604,0.2,0.2,0.2,0.0,0,1,0,0,2,0.11764705882352941,0.009900990099009901,0.0,0.019801980198019802,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,5,28,0.0,0.0
python,python_2,0,0,0,0,0,0,0.0,18.25,0.0,0.05263157894736842,0.0,0.25,0.25,0.0,0,1,0,0,1,0.07142857142857142,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.0,0.0,4,28,0.0,0.05263157894736842
python,python_3,0,0,0,0,0,0,0.0,17.0,0.0,0.0449438202247191,0.0,0.4,0.4,0.0,0,1,0,0,1,0.06666666666666667,0.02247191011235955,0.0,0.011235955056179775,0.0,0.02247191011235955,0.0,0.0,0.0,0.0,5,28,0.0,0.0
python,python_4,0,0,0,0,0,0,0.0,17.666666666666668,0.0,0.018018018018018018,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0,0,1,1,4,0.23529411764705882,0.018018018018018018,0.018018018018018018,0.009009009009009009,0.018018018018018018,0.018018018018018018,0.018018018018018018,0.0,0.0,2.0,6,24,0.0,0.009009009009009009
python,python_5,0,0,0,0,0,0,0.0,17.666666666666668,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0,0,0,1,2,0.2857142857142857,0.0,0.01818181818181818,0.0,0.01818181818181818,0.03636363636363636,0.01818181818181818,0.0,0.0,2.6666666666666665,3,26,0.0,0.05454545454545454
python,python_6,0,0,0,0,0,0,0.0,17.5,0.0,0.0547945205479452,0.0,0.25,0.25,0.0,0,0,0,1,2,0.2,0.0136986301369863,0.0273972602739726,0.0,0.0136986301369863,0.0273972602739726,0.0273972602739726,0.0136986301369863,0.0,2.0,4,26,0.0,0.0958904109589041
python,python_7,0,0,0,0,0,0,0.0,17.25,0.0,0.05555555555555555,0.0,0.25,0.25,0.0,0,0,0,1,2,0.2222222222222222,0.013888888888888888,0.013888888888888888,0.0,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.0,0.0,2.0,4,26,0.0,0.041666666666666664
python,python_8,0,0,0,0,0,0,0.0,16.5,0.0,0.057971014492753624,0.0,0.25,0.25,0.0,0,0,0,1,2,0.2222222222222222,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.0,0.0,2.0,4,26,0.0,0.043478260869565216
python,python_9,0,0,0,0,0,0,0.0,18.5,0.0,0.025974025974025976,0.0,0.25,0.25,0.0,0,0,1,1,3,0.25,0.012987012987012988,0.025974025974025976,0.0,0.025974025974025976,0.0,0.025974025974025976,0.0,0.0,3.0,4,24,0.0,0.012987012987012988
